X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
81.3673464731555,29.6963225799176,"8389701858",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,98628448,1,2021/02/03 08:03:06+00,a515710ccf5148ab9bc1e26a90f04380
87.7077340313513,26.6672471932013,"9768423697",node,9.375,clinic,,Basic Health Centre 07,,,,,,,,,,,,,,,,,,,,,,,,121451135,1,2022/05/25 01:58:34+00,f303f2e7ae154cf092485ee04d485b3e
84.0097957633384,28.2128220262731,"5598345161",node,12.5,dentist,,Advance Medicine service And Dental,,,,,,sunrise-sunset,,,,,,,,,,,,,,,,,,131356219,2,2023/01/16 23:04:30+00,bd052bf18cd94f69ad0b38f58325ed2c
85.1810199647125,27.0766931887627,"9796614384",node,9.375,clinic,,Kolhabi Primary Health Post,,,,,,,,,,,,,,,,,,,,,,,,121978796,1,2022/06/05 13:56:15+00,fb7c98a3534c4e8288f2ccd3e9af64ca
83.9911535724902,28.2216456557439,"5544172880",node,12.5,pharmacy,,Shakya Medical Concen,,2cpokhara,,,,,,,,,,,,,,,,,,,,,,57990378,1,2018/04/11 03:16:10+00,28794ccc4fb54aab8db2680b124ac6f7
83.9886461261559,28.243412368638,"4912048175",node,9.375,clinic,,Pokhara Healthy Homes,,,,,,,,,,,,,,,,,,,,,,,,49489316,1,2017/06/13 06:34:00+00,ccddb13c756344f492bc4b47b25726eb
83.7009200330044,27.4371184618041,"9796948911",node,9.375,hospital,,Nepal Pariwar Niyojan Sangh Palhinandan-1Rampurawa,,,,,,,,,,,,,,,,,,,,,,,,121987159,1,2022/06/05 17:13:34+00,2d28cf6add92426596734e1f74863e70
84.1251067787629,27.6214313996287,"9797643537",node,9.375,clinic,,Aadharbhut Health Post,,,,,,,,,,,,,,,,,,,,,,,,122001648,1,2022/06/06 03:32:55+00,3bf6388aab4e41fda9d50aae9c1c900e
85.5227174676743,27.6278825314062,"10230034908",node,12.5,pharmacy,,Niko Medical Hall,,,,,,,,,,,,,,,,,,,,,Godam Chowk,,,129584650,1,2022/12/01 04:26:45+00,b232c0c8a78f4a0b8f840d29378030cb
81.0728153642746,28.6108238741556,"9597497420",node,9.375,hospital,,Partappur Health Post,,,,,,,,,,,,,,,,,,,,,,,,118780830,1,2022/03/22 14:15:38+00,15ff477e346446098f273e05be6c5aa2
